Nom de l'aliment,Code de l'échantillon,Description du produit,Groupe d'aliment,Pays d'origine,Type d'échantillon,Sous-échantillon,Date de l'échantillonnage,Raison de l'échantillonnage,Code d'indication de maladie humaine,Type de Point d'échantillonnage,Nom de la ville du Point d'échantillonnage,Province du Point d'échantillonnage,Pays du Point d'échantillonnage,Nom du laboratoire,Date de la fin de l'analyse,Opérateur des résultats quantitatifs,Valeur du résultat,Unités de mesure,Nom de l'analyte,Groupe de l'analyte,Limite de détection,Limite de quantification,Limite de détection de la méthode,Récupération (%),Base de résultat,Assurance de la qualité,Commentaires sur le résultat,Nom de la méthode d'essai,Code de la méthode d'essai,Instrumentation,Commentaires sur la méthode,Code du projet,Nom du projet,Description du projet,Organisation
"Céréales chaudes, à  base de blé",TDS2010-FF05-BPA,,Céréales chaudes,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Céréales chaudes, à  base de blé",TDS2011-FF05-BPA,,Céréales chaudes,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Céréales chaudes, à  base de blé",TDS2012-FF05-BPA,,Céréales chaudes,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Céréales chaudes, à  base de blé",TDS2016-FF05-BPA,"FF05 Cereal, cooked wheat/Céréales de blé à  cuire",Céréales chaudes,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,0.799901823,,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Céréales froides, à  base de maïs",TDS2009-FF06-BPA,,Céréales prêtes-à -manger,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Céréales froides, à  base de maïs",TDS2010-FF06-BPA,,Céréales prêtes-à -manger,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Céréales froides, à  base de maïs",TDS2011-FF06-BPA,,Céréales prêtes-à -manger,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Céréales froides, à  base de maïs",TDS2012-FF06-BPA,,Céréales prêtes-à -manger,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,=,1.1,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Céréales froides, à  base de maïs",TDS2016-FF06-BPA,"FF06 Cereal, corn (Corn flake type cereal)/Céréales de maïs (de type Corn Flakes)",Céréales prêtes-à -manger,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.144974235,,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Céréales pour bébé, à  base de grains mélangés",TDS2009-LL01-BPA,,Céréales pour bébés,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Céréales pour bébé, à  base de grains mélangés",TDS2010-LL01-BPA,,Céréales pour bébés,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Céréales pour bébé, à  base de grains mélangés",TDS2011-LL01-BPA,,Céréales pour bébés,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Céréales pour bébé, à  base de grains mélangés",TDS2012-LL01-BPA,,Céréales pour bébés,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Céréales pour bébé, à  base de grains mélangés",TDS2016-LL01-BPA,"LL01 Cereals, mixed (Babyfood)/Céréales mélangées (aliments pour bébés)",Céréales pour bébés,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.765917792,,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Céréales, riz, son",TDS2009-FF08-BPA,,Composite de céréales,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Céréales, riz, son",TDS2010-FF08-BPA,,Composite de céréales,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,=,0.69,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Céréales, riz, son",TDS2011-FF08-BPA,,Composite de céréales,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,=,0.47,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Céréales, riz, son",TDS2012-FF08-BPA,,Composite de céréales,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,=,1,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Céréales, riz, son",TDS2016-FF08-BPA,"FF08 Cereals, rice & bran (Rice crispies, all-bran, and raisin bran) /Céréales de riz et son (Rice Krispies, All-Bran et Raisin Bran)",Composite de céréales,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.311612843,,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Danoises, beignes, croissants",TDS2009-FF11-BPA,,"Autres produits pâtisserie fine (beignes, roulés, scones, muffins)",Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,=,0.62,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Danoises, beignes, croissants",TDS2010-FF11-BPA,,"Autres produits pâtisserie fine (beignes, roulés, scones, muffins)",Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Danoises, beignes, croissants",TDS2011-FF11-BPA,,"Autres produits pâtisserie fine (beignes, roulés, scones, muffins)",Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Danoises, beignes, croissants",TDS2012-FF11-BPA,,"Autres produits pâtisserie fine (beignes, roulés, scones, muffins)",Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Danoises, beignes, croissants",TDS2016-FF11-BPA,"FF11 Danish, donuts & croissants/Danoises, beignets et croissants","Autres produits pâtisserie fine (beignes, roulés, scones, muffins)",Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.215748903,,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Dessert, nourriture pour bébé",TDS2009-LL02-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Dessert, nourriture pour bébé",TDS2010-LL02-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Dessert, nourriture pour bébé",TDS2011-LL02-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Dessert, nourriture pour bébé",TDS2012-LL02-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Dessert, nourriture pour bébé",TDS2016-LL02-BPA,LL02 Desserts (Babyfood)/Desserts (aliments pour bébés),Aliments pour bébés,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,2.223192812,,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Dîners, plats surgelés",TDS2009-MM02-BPA,,Repas transformés préemballés,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Dîners, plats surgelés",TDS2010-MM02-BPA,,Repas transformés préemballés,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Dîners, plats surgelés",TDS2011-MM02-BPA,,Repas transformés préemballés,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Dîners, plats surgelés",TDS2012-MM02-BPA,,Repas transformés préemballés,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Dîners, plats surgelés",TDS2016-MM02-BPA,MM02 Frozen entrees (Pasta and chicken)/Plats principaux congelés (pâtes et poulet),Repas transformés préemballés,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.899806176,,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Eau du robinet, cuisine",TDS2009-PP08-BPA,,Eau du robinet ou de puit,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.2,0,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,LOD corrected and LOQ removed 2020-12-31 HL,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Eau du robinet, cuisine",TDS2010-PP08-BPA,,Eau du robinet ou de puit,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.2,0,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,LOD corrected and LOQ removed 2020-12-31 HL,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Eau du robinet, cuisine",TDS2011-PP08-BPA,,Eau du robinet ou de puit,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.2,0,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,LOD corrected and LOQ removed 2020-12-31 HL,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Eau du robinet, cuisine",TDS2012-PP08-BPA,,Eau du robinet ou de puit,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.2,0,,,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,"LOD corrected, LOQ removed 2021-01-04 HL",Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
